Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	mu[6]	mu[7]	mu[8]	mu[9]	mu[10]	mu[11]	mu[12]	mu[13]	mu[14]	mu[15]	mu[16]	mu[17]	mu[18]	mu[19]	mu[20]	mu[21]	mu[22]	mu[23]	mu[24]	mu[25]	mu[26]	mu[27]	mu[28]	mu[29]	mu[30]	mu[31]	mu[32]	mu[33]	mu[34]	mu[35]	mu[36]	mu[37]	mu[38]	mu[39]	mu[40]	mu[41]	mu[42]	mu[43]	mu[44]	mu[45]	mu[46]	mu[47]	mu[48]	mu[49]	mu[50]	mu[51]	mu[52]	mu[53]	mu[54]	mu[55]	mu[56]	mu[57]	mu[58]	mu[59]	mu[60]	mu[61]	mu[62]	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
0	-30345.8	-30392.2	46.3952	0.211245	0.0221351	0.130964	0.000767109	0.0405041	0.412364	3.54637	0.208167	0.115759	0.14692	0.0625012	0.114213	0.161856	0.0906229	0.0784848	0.105853	0.0856778	0.0691029	0.0638041	0.0748986	0.0638972	0.0627516	0.142464	0.15873	0.0726696	0.0632311	0.0908474	0.0967327	0.0942552	0.109236	0.105019	0.0539794	0.0852622	0.15318	0.106087	0.380613	0.113141	0.102095	0.127011	0.102073	0.047466	0.220929	0.0370448	0.0756989	0.0139391	0.0799217	0.0800808	0.0545744	0.0448322	0.094065	0.0492087	0.0926906	0.044769	0.0877366	0.0880388	0.0964117	0.0620626	0.11377	0.0697486	0.0575676	0.0650449	0.0610789	0.0997585	0.0776014	0.0643924	0.107453	0.0909419	0.114339	0.0531157	0.24919	0.189738	0.245693	0.31538	0.0290194	0.268419	0.342986	0.0150696	0.314144	0.0303617	5.91656
10	-30356.6	-30397.9	41.337	0.205906	0.209458	1.4064	0.000647537	0.0372508	0.398896	3.56321	0.236636	0.100579	0.157345	0.0679174	0.106189	0.16887	0.0724821	0.0806804	0.100287	0.0684641	0.0785671	0.0538924	0.0547953	0.0777509	0.0764582	0.14094	0.102161	0.0797722	0.0856435	0.0965451	0.0836727	0.0981408	0.112351	0.0833285	0.0761395	0.0884416	0.137264	0.108414	0.418558	0.125419	0.0863533	0.142764	0.131291	0.117114	0.0968122	0.116032	0.208279	0.0396942	0.0579846	0.0279982	0.0914874	0.0920381	0.0637877	0.0956922	0.077876	0.0281608	0.0715507	0.0972124	0.0978686	0.0634857	0.0932094	0.0852474	0.0633838	0.07767	0.0566518	0.165561	0.191007	0.0577249	0.120056	0.0281776	0.112775	0.0559507	0.247166	0.196319	0.243697	0.312818	0.022941	0.247069	0.352631	0.0154933	0.322977	0.0388888	6.71448
20	-30350.6	-30393.8	43.1176	0.212718	0.244064	1.77809	0.00080262	0.0414195	0.416028	3.54175	0.225748	0.134149	0.129554	0.0718713	0.0943595	0.140049	0.0844413	0.0683202	0.11001	0.0773875	0.07925	0.0631019	0.0732294	0.071559	0.080614	0.129324	0.168272	0.098838	0.0487737	0.0891987	0.0844316	0.0987583	0.11901	0.114887	0.0596129	0.0747835	0.14113	0.100079	0.406766	0.120646	0.119029	0.139406	0.0797746	0.114598	0.0839238	0.0497769	0.114311	0.0223238	0.160289	0.0754528	0.0676088	0.175133	0.132674	0.0553418	0.0774797	0.0662279	0.0697882	0.0822156	0.0514075	0.0475764	0.106742	0.0679492	0.0735245	0.0956509	0.0451724	0.123089	0.158552	0.0626638	0.114489	0.1126	0.151439	0.0629992	0.247113	0.194342	0.244586	0.313959	0.0317568	0.248449	0.354601	0.0177191	0.308368	0.0391061	7.28533
30	-30357.9	-30395.6	37.6257	0.206709	0.317421	2.23802	0.000664626	0.0377336	0.40094	3.56066	0.270988	0.142712	0.13823	0.0682275	0.104547	0.150604	0.0643137	0.0741382	0.102278	0.0623802	0.0616109	0.061841	0.0533188	0.0657988	0.0867759	0.132309	0.178226	0.0884331	0.0459695	0.0886872	0.0904543	0.0941137	0.115157	0.107782	0.0727363	0.0804203	0.1604	0.111981	0.380216	0.113952	0.11244	0.125132	0.0766203	0.125174	0.102675	0.180589	0.12132	0.0844941	0.122492	0.0216809	0.0793895	0.17109	0.0609685	0.0868239	0.0943813	0.0423828	0.107179	0.0506768	0.135464	0.0763725	0.116656	0.0776488	0.085732	0.222187	0.108094	0.0627372	0.0779291	0.0907258	0.0667006	0.0267615	0.109698	0.113566	0.242091	0.195638	0.246217	0.316053	0.0297304	0.246507	0.341892	0.0112692	0.333991	0.0366107	7.05064
40	-30361.4	-30402.8	41.4482	0.206774	0.196965	1.20925	0.000666026	0.0377728	0.401106	3.56046	0.233333	0.122642	0.159897	0.062388	0.0956291	0.133795	0.0753357	0.0658196	0.101234	0.0689786	0.0777085	0.0691496	0.0610012	0.0549322	0.0648617	0.136536	0.1249	0.100146	0.0590628	0.106249	0.0825958	0.0979752	0.109562	0.107418	0.085595	0.0886326	0.13135	0.107007	0.317207	0.12988	0.0903265	0.139102	0.0597662	0.16421	0.1242	0.104076	0.0773959	0.0998314	0.163939	0.0297004	0.0872344	0.0629533	0.125074	0.0770671	0.0831583	0.0461846	0.117083	0.0668347	0.194939	0.0595311	0.0927703	0.0950743	0.0613567	0.16093	0.231135	0.0631458	0.0824871	0.0606317	0.0940956	0.157661	0.0428884	0.143568	0.243254	0.204811	0.249451	0.302484	0.0271016	0.247175	0.342819	0.0112998	0.334895	0.0367099	6.13944
50	-30374.6	-30412.3	37.7681	0.215508	0.0376568	0.226883	0.000872976	0.0431739	0.42291	3.53304	0.252156	0.153768	0.1101	0.0794269	0.106485	0.138081	0.0628096	0.0884398	0.0780577	0.0478058	0.0740151	0.0514025	0.068088	0.0403175	0.0676862	0.130854	0.143428	0.0929691	0.0415885	0.0930505	0.0784692	0.0829024	0.108493	0.093717	0.0392292	0.0860345	0.151256	0.0959362	0.358492	0.141021	0.11025	0.152209	0.0673554	0.114316	0.0634085	0.147287	0.064863	0.0774686	0.159179	0.0141861	0.0470617	0.0710571	0.223759	0.139459	0.126261	0.0777058	0.126048	0.0600901	0.279867	0.0746593	0.135028	0.070991	0.0447487	0.141509	0.104724	0.0439972	0.0748302	0.0819439	0.0805811	0.0593828	0.107398	0.0827325	0.244829	0.202364	0.24647	0.306337	0.0246531	0.2415	0.363358	0.0110403	0.327207	0.0322418	6.02501
60	-30359.3	-30394.9	35.5606	0.213262	0.388545	3.41586	0.000816024	0.0417596	0.417377	3.54005	0.269517	0.158826	0.112494	0.0782831	0.0821818	0.146621	0.0826251	0.0810626	0.105904	0.0647851	0.066436	0.0603917	0.0636491	0.0524144	0.060938	0.154944	0.124334	0.0773656	0.0582232	0.117981	0.10192	0.104061	0.114312	0.0843149	0.0543034	0.0822673	0.137147	0.112729	0.421925	0.133058	0.106795	0.152886	0.0868974	0.115298	0.13195	0.0999732	0.0885093	0.0380305	0.0760839	0.0526996	0.125706	0.0691051	0.193694	0.159889	0.124627	0.0259769	0.0825833	0.0662618	0.095883	0.0799649	0.10065	0.052935	0.0380641	0.0679043	0.0980508	0.0841065	0.0640838	0.117614	0.20245	0.189484	0.135246	0.110241	0.24837	0.191049	0.248292	0.312289	0.0246531	0.2415	0.363358	0.0110403	0.327207	0.0322418	8.79143
70	-30353.9	-30393.6	39.7223	0.209555	0.388545	3.55384	0.000727736	0.0394635	0.408133	3.55168	0.278095	0.118988	0.108102	0.0696985	0.100159	0.137581	0.0717177	0.0682783	0.0994108	0.0802999	0.076346	0.0870916	0.0534499	0.0463115	0.0689958	0.128728	0.128044	0.0858751	0.0487848	0.110198	0.0887207	0.0884603	0.115396	0.0989094	0.0642391	0.079721	0.127463	0.107999	0.383366	0.129098	0.101621	0.144568	0.0405862	0.174689	0.134637	0.034703	0.0859222	0.0393621	0.142549	0.104236	0.0786405	0.076418	0.0780437	0.0602422	0.0709879	0.0274971	0.108521	0.072483	0.114013	0.0634911	0.0885727	0.0754691	0.0451547	0.180518	0.103437	0.0475026	0.0743527	0.163834	0.0737041	0.0310933	0.0472246	0.108157	0.249911	0.192234	0.249832	0.308023	0.0279757	0.240677	0.36212	0.0110027	0.326092	0.032132	9.14653
80	-30345.8	-30392	46.221	0.208533	0.374321	3.43223	0.000704597	0.0388385	0.405558	3.5549	0.241172	0.128918	0.0952793	0.0812635	0.0890414	0.146728	0.0778197	0.0593227	0.0846188	0.0537411	0.0636781	0.0569127	0.0593016	0.0434034	0.0595665	0.145952	0.150969	0.0817447	0.0553044	0.111622	0.0794025	0.102259	0.103714	0.128051	0.0571164	0.0789007	0.143467	0.114663	0.384066	0.102225	0.109829	0.156725	0.0846264	0.109925	0.10491	0.100858	0.0785475	0.0824845	0.0507005	0.0757734	0.0931375	0.10725	0.113419	0.0732314	0.0619055	0.0443867	0.147622	0.0558939	0.112725	0.0712704	0.0949709	0.0576822	0.0510563	0.0935852	0.106464	0.0716915	0.0988864	0.106661	0.0964554	0.0477136	0.0741008	0.0652172	0.253238	0.194793	0.249742	0.302227	0.0274324	0.236895	0.360376	0.0109497	0.324521	0.039826	9.16922
90	-30359.5	-30400.6	41.1383	0.198615	0.31593	2.49026	0.000506223	0.0329802	0.380033	3.58648	0.218594	0.103787	0.125681	0.0762161	0.0882239	0.158155	0.0761825	0.0615226	0.116911	0.0577449	0.0926602	0.0647596	0.0552196	0.052866	0.0646438	0.147263	0.134965	0.078197	0.0509881	0.0807445	0.0867623	0.10394	0.138804	0.116876	0.0507679	0.100989	0.135234	0.13103	0.419194	0.11218	0.11335	0.167532	0.059772	0.105693	0.123188	0.144873	0.0385701	0.0461401	0.116786	0.158212	0.116527	0.121939	0.120998	0.102506	0.0602563	0.0528315	0.128308	0.0696337	0.0874481	0.0846874	0.119096	0.0569329	0.023048	0.0843677	0.0676402	0.0522499	0.106465	0.138088	0.0865473	0.0517715	0.0379479	0.0378102	0.25531	0.194525	0.252555	0.29761	0.0276884	0.233112	0.363739	0.0157475	0.32755	0.0321637	7.88232
