Iteration	Posterior	Likelihood	Prior	alpha_g	epsilon	extinction	gamma_cats[1]	gamma_cats[2]	gamma_cats[3]	gamma_cats[4]	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	r[5]	r[6]	speciation
0	-30524.4	-30462.6	-61.7543	0.213068	0.0150788	0.170031	0.000811232	0.0416384	0.416897	3.54065	0.21881	0.249645	0.184206	0.251001	0.315148	0.0355101	0.2463	0.334418	0.0151936	0.334724	0.0338538	11.2762
10	-30529.1	-30466.5	-62.5695	0.209614	0.0150788	0.147032	0.00072907	0.0394992	0.40828	3.55149	0.223806	0.253506	0.187055	0.239396	0.320043	0.0328769	0.246973	0.335331	0.0152351	0.335638	0.0339462	9.75091
20	-30522.6	-30460.6	-61.9168	0.214677	0.0966403	1.18911	0.000851598	0.0426487	0.420869	3.53563	0.219921	0.253506	0.187055	0.239396	0.320043	0.0356255	0.245611	0.333482	0.0177356	0.333787	0.033759	12.3044
30	-30529.2	-30468.2	-61.0478	0.202944	0.0220888	0.252727	0.000587154	0.0354909	0.391297	3.57262	0.219357	0.253506	0.187055	0.239396	0.320043	0.0355488	0.245082	0.332764	0.0176974	0.333068	0.0358399	11.4414
40	-30526	-30463.7	-62.2657	0.212757	0.0731431	0.871305	0.000803585	0.0414441	0.416126	3.54163	0.218399	0.254318	0.187655	0.240163	0.317864	0.0356622	0.245864	0.333825	0.0145641	0.334131	0.0359542	11.9123
50	-30530.3	-30467.4	-62.8865	0.214995	0.182162	2.07249	0.000859726	0.0428492	0.42165	3.53464	0.218399	0.254318	0.187655	0.240163	0.317864	0.0356498	0.241558	0.337028	0.0211395	0.328279	0.036346	11.3772
60	-30532.2	-30468.4	-63.747	0.21226	0.235874	3.34862	0.000791464	0.0411342	0.414892	3.54318	0.219997	0.254318	0.187655	0.240163	0.317864	0.0312594	0.243625	0.339913	0.0174569	0.331088	0.0366571	14.1967
70	-30532.5	-30469.7	-62.7952	0.200309	0.0740233	0.924126	0.000536883	0.0339538	0.384463	3.58105	0.211771	0.256291	0.186979	0.240012	0.316718	0.026071	0.243931	0.34034	0.0214494	0.331505	0.0367032	12.4842
80	-30536.5	-30473.5	-63.0196	0.215422	0.111282	1.3679	0.000870739	0.0431192	0.422698	3.53331	0.222423	0.247732	0.185137	0.253532	0.313599	0.0281634	0.240641	0.339485	0.0213955	0.330671	0.0396435	12.2922
90	-30531.4	-30465.8	-65.5683	0.213005	0.185017	1.86886	0.000809679	0.041599	0.416741	3.54085	0.216583	0.24963	0.186555	0.247814	0.316001	0.0281634	0.240641	0.339485	0.0213955	0.330671	0.0396435	10.101
100	-30532	-30469.8	-62.2018	0.210454	0.0247879	0.250383	0.000748501	0.0400158	0.410387	3.54885	0.218524	0.2457	0.195081	0.248193	0.311026	0.028354	0.24227	0.341783	0.0147719	0.332909	0.0399118	10.101
110	-30531.8	-30469.5	-62.2999	0.199263	0.0279106	0.28342	0.00051781	0.0333515	0.381732	3.5844	0.21212	0.247705	0.188511	0.250218	0.313565	0.0277404	0.237027	0.356521	0.0155153	0.325704	0.0374923	10.1546
120	-30533.4	-30470	-63.4315	0.204799	0.13261	1.37046	0.000624483	0.0365892	0.396067	3.56672	0.209063	0.246337	0.18747	0.25436	0.311833	0.0319549	0.235998	0.354974	0.0154536	0.324291	0.0373296	10.3345
130	-30531.2	-30469.6	-61.6219	0.207095	0.060554	0.716759	0.00067294	0.0379661	0.401919	3.55944	0.210101	0.246021	0.188511	0.254034	0.311433	0.0309527	0.243681	0.351675	0.0154314	0.321277	0.0369827	11.8367
140	-30535.3	-30474.7	-60.6102	0.21194	0.0567245	0.637208	0.000783721	0.040935	0.414095	3.54419	0.203039	0.248232	0.185188	0.252349	0.314231	0.025633	0.243548	0.357332	0.0154229	0.321102	0.0369625	11.2334
150	-30526.8	-30465	-61.7821	0.204185	0.154425	1.74402	0.000611941	0.036224	0.394491	3.56867	0.209236	0.244708	0.197108	0.248767	0.309417	0.0255678	0.242928	0.356423	0.0153837	0.320284	0.0394139	11.2936
